benchmark,warmup_iter,iter,name,command,duration,lines,env
linux_re_literal_suffix,1,3,rg (whitelist),rg -n --no-ignore -tall [A-Z]+_RESUME,1.3593599796295166,1630,
linux_re_literal_suffix,1,3,rg (whitelist),rg -n --no-ignore -tall [A-Z]+_RESUME,1.3593666553497314,1630,
linux_re_literal_suffix,1,3,rg (whitelist),rg -n --no-ignore -tall [A-Z]+_RESUME,1.3437590599060059,1630,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},1.718766212463379,23,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},1.7187299728393555,23,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},1.8750016689300537,23,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},1.7031257152557373,103,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},1.7187302112579346,103,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},1.7187535762786865,103,
linux_unicode_word,1,3,rg (ignore),rg -n \wAh,1.5781002044677734,186,
linux_unicode_word,1,3,rg (ignore),rg -n \wAh,1.5781519412994385,186,
linux_unicode_word,1,3,rg (ignore),rg -n \wAh,1.57810640335083,186,
linux_unicode_word,1,3,rg (ignore) (ASCII),rg -n (?-u)\wAh,1.5625238418579102,174,
linux_unicode_word,1,3,rg (ignore) (ASCII),rg -n (?-u)\wAh,1.5625109672546387,174,
linux_unicode_word,1,3,rg (ignore) (ASCII),rg -n (?-u)\wAh,1.578110933303833,174,
linux_unicode_word,1,3,rg (whitelist),rg -n --no-ignore -tall \wAh,1.4062426090240479,180,
linux_unicode_word,1,3,rg (whitelist),rg -n --no-ignore -tall \wAh,1.359363079071045,180,
linux_unicode_word,1,3,rg (whitelist),rg -n --no-ignore -tall \wAh,1.1718521118164062,180,
linux_unicode_word,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\wAh,1.3281257152557373,168,
linux_unicode_word,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\wAh,1.3437504768371582,168,
linux_unicode_word,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\wAh,1.3437929153442383,168,
linux_word,1,3,rg (ignore),rg -n -w PM_RESUME,1.5312230587005615,6,
linux_word,1,3,rg (ignore),rg -n -w PM_RESUME,1.5468487739562988,6,
linux_word,1,3,rg (ignore),rg -n -w PM_RESUME,1.531264066696167,6,
linux_word,1,3,rg (whitelist),rg -n -w --no-ignore -tall PM_RESUME,1.3593616485595703,6,
linux_word,1,3,rg (whitelist),rg -n -w --no-ignore -tall PM_RESUME,1.3281288146972656,6,
linux_word,1,3,rg (whitelist),rg -n -w --no-ignore -tall PM_RESUME,1.3437693119049072,6,
subtitles_en_alternate,1,3,rg (lines),rg -n Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.6250123977661133,848,
subtitles_en_alternate,1,3,rg (lines),rg -n Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.6250171661376953,848,
subtitles_en_alternate,1,3,rg (lines),rg -n Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.6250038146972656,848,
subtitles_en_alternate,1,3,rg,rg Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5000128746032715,848,
subtitles_en_alternate,1,3,rg,rg Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.5000033378601074,848,
subtitles_en_alternate,1,3,rg,rg Sherlock Holmes|John Watson|Irene Adler|Inspector Lestrade|Professor Moriarty C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.sample.en,2.4999911785125732,848,
