benchmark,warmup_iter,iter,name,command,duration,lines,env
linux_re_literal_suffix,1,3,rg (whitelist),rg -n --no-ignore -tall [A-Z]+_RESUME,1.3749911785125732,1630,
linux_re_literal_suffix,1,3,rg (whitelist),rg -n --no-ignore -tall [A-Z]+_RESUME,1.3437743186950684,1630,
linux_re_literal_suffix,1,3,rg (whitelist),rg -n --no-ignore -tall [A-Z]+_RESUME,1.1718404293060303,1630,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},1.7030789852142334,23,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},1.7187485694885254,23,
linux_unicode_greek,1,3,rg,rg -n \p{Greek},1.718752145767212,23,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},1.6874949932098389,103,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},1.7031400203704834,103,
linux_unicode_greek_casei,1,3,rg,rg -n -i \p{Greek},1.6874899864196777,103,
linux_unicode_word,1,3,rg (ignore),rg -n \wAh,1.562492847442627,186,
linux_unicode_word,1,3,rg (ignore),rg -n \wAh,1.562490463256836,186,
linux_unicode_word,1,3,rg (ignore),rg -n \wAh,1.5781059265136719,186,
linux_unicode_word,1,3,rg (ignore) (ASCII),rg -n (?-u)\wAh,1.578141450881958,174,
linux_unicode_word,1,3,rg (ignore) (ASCII),rg -n (?-u)\wAh,1.5781493186950684,174,
linux_unicode_word,1,3,rg (ignore) (ASCII),rg -n (?-u)\wAh,1.6093552112579346,174,
linux_unicode_word,1,3,rg (whitelist),rg -n --no-ignore -tall \wAh,1.3750026226043701,180,
linux_unicode_word,1,3,rg (whitelist),rg -n --no-ignore -tall \wAh,1.3905797004699707,180,
linux_unicode_word,1,3,rg (whitelist),rg -n --no-ignore -tall \wAh,1.3750040531158447,180,
linux_unicode_word,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\wAh,1.3906476497650146,168,
linux_unicode_word,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\wAh,1.3749659061431885,168,
linux_unicode_word,1,3,rg (whitelist) (ASCII),rg -n --no-ignore -tall (?-u)\wAh,1.4375100135803223,168,
linux_word,1,3,rg (ignore),rg -n -w PM_RESUME,1.8906385898590088,6,
linux_word,1,3,rg (ignore),rg -n -w PM_RESUME,1.656257152557373,6,
linux_word,1,3,rg (ignore),rg -n -w PM_RESUME,1.6250016689300537,6,
linux_word,1,3,rg (whitelist),rg -n -w --no-ignore -tall PM_RESUME,1.390613079071045,6,
linux_word,1,3,rg (whitelist),rg -n -w --no-ignore -tall PM_RESUME,1.328145980834961,6,
